code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
CI,repo,README.md,3,2,c67940d53ced7f72166097d7df49f3dd1b2c0d8e,1623210446,7e940b2c9774cf4b4d842b283abf142cc41d9124,1655326528,c67940d53ced7f72166097d7df49f3dd1b2c0d8e,1623210446,https://github.com/mybatis/mybatis-3/blob/c67940d53ced7f72166097d7df49f3dd1b2c0d8e/README.md,https://github.com/mybatis/mybatis-3/blob/7e940b2c9774cf4b4d842b283abf142cc41d9124/src/test/java/org/apache/ibatis/parsing/GenericTokenParserTest.java#L89
LICENSE,repo,README.md,1844,1865,c67940d53ced7f72166097d7df49f3dd1b2c0d8e,1623210446,7e940b2c9774cf4b4d842b283abf142cc41d9124,1655326528,c67940d53ced7f72166097d7df49f3dd1b2c0d8e,1623210446,https://github.com/mybatis/mybatis-3/blob/c67940d53ced7f72166097d7df49f3dd1b2c0d8e/README.md,https://github.com/mybatis/mybatis-3/blob/7e940b2c9774cf4b4d842b283abf142cc41d9124/src/test/java/resources/nodelet_test.xml#L9
MyBatis,repo,README.md,923,920,c67940d53ced7f72166097d7df49f3dd1b2c0d8e,1623210446,7e940b2c9774cf4b4d842b283abf142cc41d9124,1655326528,c67940d53ced7f72166097d7df49f3dd1b2c0d8e,1623210446,https://github.com/mybatis/mybatis-3/blob/c67940d53ced7f72166097d7df49f3dd1b2c0d8e/README.md,https://github.com/mybatis/mybatis-3/blob/7e940b2c9774cf4b4d842b283abf142cc41d9124/src/test/java/org/apache/ibatis/submitted/sqlprovider/SqlProviderTest.java#L433
SQL,repo,README.md,707,707,c67940d53ced7f72166097d7df49f3dd1b2c0d8e,1623210446,7e940b2c9774cf4b4d842b283abf142cc41d9124,1655326528,c67940d53ced7f72166097d7df49f3dd1b2c0d8e,1623210446,https://github.com/mybatis/mybatis-3/blob/c67940d53ced7f72166097d7df49f3dd1b2c0d8e/README.md,https://github.com/mybatis/mybatis-3/blob/7e940b2c9774cf4b4d842b283abf142cc41d9124/src/test/java/org/apache/ibatis/submitted/sqlprovider/OurSqlBuilder.java#L28
XML,repo,README.md,385,384,c67940d53ced7f72166097d7df49f3dd1b2c0d8e,1623210446,7e940b2c9774cf4b4d842b283abf142cc41d9124,1655326528,c67940d53ced7f72166097d7df49f3dd1b2c0d8e,1623210446,https://github.com/mybatis/mybatis-3/blob/c67940d53ced7f72166097d7df49f3dd1b2c0d8e/README.md,https://github.com/mybatis/mybatis-3/blob/7e940b2c9774cf4b4d842b283abf142cc41d9124/src/test/java/org/apache/ibatis/type/SqlxmlTypeHandlerTest.sql#L23
ANY,wiki,Contribute.md,1542,1869,9b61bfbe4353ec75ccdf39199be2abde39c752f8,1389768461,7e940b2c9774cf4b4d842b283abf142cc41d9124,1655326528,1984985ca152cf1c32a21e5ccd0e267fd3dc3109,1388994390,https://github.com/mybatis/mybatis-3/wiki/Contribute/1984985ca152cf1c32a21e5ccd0e267fd3dc3109,https://github.com/mybatis/mybatis-3/blob/7e940b2c9774cf4b4d842b283abf142cc41d9124/src/test/java/resources/nodelet_test.xml#L13
AS,wiki,Contribute.md,1631,1911,9b61bfbe4353ec75ccdf39199be2abde39c752f8,1389768461,7e940b2c9774cf4b4d842b283abf142cc41d9124,1655326528,1984985ca152cf1c32a21e5ccd0e267fd3dc3109,1388994390,https://github.com/mybatis/mybatis-3/wiki/Contribute/1984985ca152cf1c32a21e5ccd0e267fd3dc3109,https://github.com/mybatis/mybatis-3/blob/7e940b2c9774cf4b4d842b283abf142cc41d9124/src/test/java/resources/nodelet_test.xml#L12
BASIS,wiki,Contribute.md,1538,1865,9b61bfbe4353ec75ccdf39199be2abde39c752f8,1389768461,7e940b2c9774cf4b4d842b283abf142cc41d9124,1655326528,1984985ca152cf1c32a21e5ccd0e267fd3dc3109,1388994390,https://github.com/mybatis/mybatis-3/wiki/Contribute/1984985ca152cf1c32a21e5ccd0e267fd3dc3109,https://github.com/mybatis/mybatis-3/blob/7e940b2c9774cf4b4d842b283abf142cc41d9124/src/test/java/resources/nodelet_test.xml#L12
CONDITIONS,wiki,Contribute.md,1540,1867,9b61bfbe4353ec75ccdf39199be2abde39c752f8,1389768461,7e940b2c9774cf4b4d842b283abf142cc41d9124,1655326528,1984985ca152cf1c32a21e5ccd0e267fd3dc3109,1388994390,https://github.com/mybatis/mybatis-3/wiki/Contribute/1984985ca152cf1c32a21e5ccd0e267fd3dc3109,https://github.com/mybatis/mybatis-3/blob/7e940b2c9774cf4b4d842b283abf142cc41d9124/src/test/java/resources/nodelet_test.xml#L13
GitHub,wiki,Contribute.md,3,7,9b61bfbe4353ec75ccdf39199be2abde39c752f8,1389768461,7e940b2c9774cf4b4d842b283abf142cc41d9124,1655326528,1984985ca152cf1c32a21e5ccd0e267fd3dc3109,1388994390,https://github.com/mybatis/mybatis-3/wiki/Contribute/1984985ca152cf1c32a21e5ccd0e267fd3dc3109,https://github.com/mybatis/mybatis-3/blob/7e940b2c9774cf4b4d842b283abf142cc41d9124/src/site/ja/xdoc/index.xml#L43
IS,wiki,Contribute.md,1544,1869,9b61bfbe4353ec75ccdf39199be2abde39c752f8,1389768461,7e940b2c9774cf4b4d842b283abf142cc41d9124,1655326528,1984985ca152cf1c32a21e5ccd0e267fd3dc3109,1388994390,https://github.com/mybatis/mybatis-3/wiki/Contribute/1984985ca152cf1c32a21e5ccd0e267fd3dc3109,https://github.com/mybatis/mybatis-3/blob/7e940b2c9774cf4b4d842b283abf142cc41d9124/src/test/java/resources/nodelet_test.xml#L12
