code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
$ast,repo,README.md,12,12,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a,1655665531,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,https://github.com/nikic/PHP-Parser/blob/23be1f9bd17885efe914c4592ef4d599c8966113/README.md,https://github.com/nikic/PHP-Parser/blob/5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a/test/PhpParser/NodeVisitor/ParentConnectingVisitorTest.php#L14
$code,repo,README.md,229,231,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a,1655665531,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,https://github.com/nikic/PHP-Parser/blob/23be1f9bd17885efe914c4592ef4d599c8966113/README.md,https://github.com/nikic/PHP-Parser/blob/5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a/test_old/run.php#L76
$dumper,repo,README.md,10,10,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a,1655665531,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,https://github.com/nikic/PHP-Parser/blob/23be1f9bd17885efe914c4592ef4d599c8966113/README.md,https://github.com/nikic/PHP-Parser/blob/5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a/test/PhpParser/NodeDumperTest.php#L15
$error,repo,README.md,66,66,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a,1655665531,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,https://github.com/nikic/PHP-Parser/blob/23be1f9bd17885efe914c4592ef4d599c8966113/README.md,https://github.com/nikic/PHP-Parser/blob/5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a/test_old/run.php#L10
$node,repo,README.md,1310,1314,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a,1655665531,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,https://github.com/nikic/PHP-Parser/blob/23be1f9bd17885efe914c4592ef4d599c8966113/README.md,https://github.com/nikic/PHP-Parser/blob/5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a/test/code/formatPreservation/listInsertion.test#L114
$parser,repo,README.md,90,92,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a,1655665531,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,https://github.com/nikic/PHP-Parser/blob/23be1f9bd17885efe914c4592ef4d599c8966113/README.md,https://github.com/nikic/PHP-Parser/blob/5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a/test_old/run.php#L141
$prettyPrinter,repo,README.md,38,38,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a,1655665531,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,https://github.com/nikic/PHP-Parser/blob/23be1f9bd17885efe914c4592ef4d599c8966113/README.md,https://github.com/nikic/PHP-Parser/blob/5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a/test_old/run.php#L145
$traverser,repo,README.md,139,139,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a,1655665531,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,https://github.com/nikic/PHP-Parser/blob/23be1f9bd17885efe914c4592ef4d599c8966113/README.md,https://github.com/nikic/PHP-Parser/blob/5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a/test/PhpParser/PrettyPrinterTest.php#L201
API,repo,README.md,6,6,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a,1655665531,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,https://github.com/nikic/PHP-Parser/blob/23be1f9bd17885efe914c4592ef4d599c8966113/README.md,https://github.com/nikic/PHP-Parser/blob/5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a/doc/component/Name_resolution.markdown#L62
AST,repo,README.md,68,70,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a,1655665531,23be1f9bd17885efe914c4592ef4d599c8966113,1655061491,https://github.com/nikic/PHP-Parser/blob/23be1f9bd17885efe914c4592ef4d599c8966113/README.md,https://github.com/nikic/PHP-Parser/blob/5aae65e627f8f3cdf6b109dc6a2bddbd92e0867a/test/PhpParser/PrettyPrinterTest.php#L161
