code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
3A,repo,README.md,7,7,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,8547cd6790881cbba0f20aa4ce048243065a24bf,1655448671,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,https://github.com/openssl/openssl/blob/a20c9b6c13afb71e1dd03bf122673e3093d6c437/README.md,https://github.com/openssl/openssl/blob/8547cd6790881cbba0f20aa4ce048243065a24bf/test/recipes/20-test_kdf.t#L41
ANDROID,repo,README.md,1,1,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,8547cd6790881cbba0f20aa4ce048243065a24bf,1655448671,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,https://github.com/openssl/openssl/blob/a20c9b6c13afb71e1dd03bf122673e3093d6c437/README.md,https://github.com/openssl/openssl/blob/8547cd6790881cbba0f20aa4ce048243065a24bf/INSTALL.md#L63
AppVeyor,repo,README.md,2,2,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,8547cd6790881cbba0f20aa4ce048243065a24bf,1655448671,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,https://github.com/openssl/openssl/blob/a20c9b6c13afb71e1dd03bf122673e3093d6c437/README.md,https://github.com/openssl/openssl/blob/8547cd6790881cbba0f20aa4ce048243065a24bf/external/perl/Text-Template-1.56/Changes#L7
CI,repo,README.md,11,12,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,8547cd6790881cbba0f20aa4ce048243065a24bf,1655448671,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,https://github.com/openssl/openssl/blob/a20c9b6c13afb71e1dd03bf122673e3093d6c437/README.md,https://github.com/openssl/openssl/blob/8547cd6790881cbba0f20aa4ce048243065a24bf/test/recipes/70-test_sslcbcpadding.t#L39
CONTRIBUTING,repo,README.md,5,5,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,8547cd6790881cbba0f20aa4ce048243065a24bf,1655448671,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,https://github.com/openssl/openssl/blob/a20c9b6c13afb71e1dd03bf122673e3093d6c437/README.md,https://github.com/openssl/openssl/blob/8547cd6790881cbba0f20aa4ce048243065a24bf/SUPPORT.md#L93
DJGPP,repo,README.md,21,21,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,8547cd6790881cbba0f20aa4ce048243065a24bf,1655448671,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,https://github.com/openssl/openssl/blob/a20c9b6c13afb71e1dd03bf122673e3093d6c437/README.md,https://github.com/openssl/openssl/blob/8547cd6790881cbba0f20aa4ce048243065a24bf/include/openssl/e_os2.h#L37
DOS,repo,README.md,19,19,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,8547cd6790881cbba0f20aa4ce048243065a24bf,1655448671,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,https://github.com/openssl/openssl/blob/a20c9b6c13afb71e1dd03bf122673e3093d6c437/README.md,https://github.com/openssl/openssl/blob/8547cd6790881cbba0f20aa4ce048243065a24bf/tools/c_rehash.in#L62
GitHub,repo,README.md,22,22,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,8547cd6790881cbba0f20aa4ce048243065a24bf,1655448671,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,https://github.com/openssl/openssl/blob/a20c9b6c13afb71e1dd03bf122673e3093d6c437/README.md,https://github.com/openssl/openssl/blob/8547cd6790881cbba0f20aa4ce048243065a24bf/test/README.md#L61
INSTALL,repo,README.md,39,39,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,8547cd6790881cbba0f20aa4ce048243065a24bf,1655448671,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,https://github.com/openssl/openssl/blob/a20c9b6c13afb71e1dd03bf122673e3093d6c437/README.md,https://github.com/openssl/openssl/blob/8547cd6790881cbba0f20aa4ce048243065a24bf/external/perl/Text-Template-1.56/SIGNATURE#L18
LICENSE,repo,README.md,3389,3423,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,8547cd6790881cbba0f20aa4ce048243065a24bf,1655448671,a20c9b6c13afb71e1dd03bf122673e3093d6c437,1646969274,https://github.com/openssl/openssl/blob/a20c9b6c13afb71e1dd03bf122673e3093d6c437/README.md,https://github.com/openssl/openssl/blob/8547cd6790881cbba0f20aa4ce048243065a24bf/util/write-man-symlinks#L6
