code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
3Amaster,repo,README.md,1,1,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,2d9a91916471f1fbe465dbcdc05db0cf22d720ec,1644593696,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,https://github.com/parallax/jsPDF/blob/7315ccbb54fdf47a3498cfb3c9f757da5c450242/README.md,https://github.com/parallax/jsPDF/blob/2d9a91916471f1fbe465dbcdc05db0cf22d720ec/docs/index.html#L61
@MrRio,repo,README.md,3,3,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,2d9a91916471f1fbe465dbcdc05db0cf22d720ec,1644593696,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,https://github.com/parallax/jsPDF/blob/7315ccbb54fdf47a3498cfb3c9f757da5c450242/README.md,https://github.com/parallax/jsPDF/blob/2d9a91916471f1fbe465dbcdc05db0cf22d720ec/index.html#L26
ACTION,repo,README.md,164,164,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,2d9a91916471f1fbe465dbcdc05db0cf22d720ec,1644593696,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,https://github.com/parallax/jsPDF/blob/7315ccbb54fdf47a3498cfb3c9f757da5c450242/README.md,https://github.com/parallax/jsPDF/blob/2d9a91916471f1fbe465dbcdc05db0cf22d720ec/types/index.d.ts#L43
AMD,repo,README.md,4,4,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,2d9a91916471f1fbe465dbcdc05db0cf22d720ec,1644593696,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,https://github.com/parallax/jsPDF/blob/7315ccbb54fdf47a3498cfb3c9f757da5c450242/README.md,https://github.com/parallax/jsPDF/blob/2d9a91916471f1fbe465dbcdc05db0cf22d720ec/test/deployment/amd/amd.spec.js#L1
AN,repo,README.md,588,588,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,2d9a91916471f1fbe465dbcdc05db0cf22d720ec,1644593696,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,https://github.com/parallax/jsPDF/blob/7315ccbb54fdf47a3498cfb3c9f757da5c450242/README.md,https://github.com/parallax/jsPDF/blob/2d9a91916471f1fbe465dbcdc05db0cf22d720ec/types/index.d.ts#L43
AND,repo,README.md,258,258,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,2d9a91916471f1fbe465dbcdc05db0cf22d720ec,1644593696,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,https://github.com/parallax/jsPDF/blob/7315ccbb54fdf47a3498cfb3c9f757da5c450242/README.md,https://github.com/parallax/jsPDF/blob/2d9a91916471f1fbe465dbcdc05db0cf22d720ec/types/index.d.ts#L41
ANY,repo,README.md,547,547,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,2d9a91916471f1fbe465dbcdc05db0cf22d720ec,1644593696,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,https://github.com/parallax/jsPDF/blob/7315ccbb54fdf47a3498cfb3c9f757da5c450242/README.md,https://github.com/parallax/jsPDF/blob/2d9a91916471f1fbe465dbcdc05db0cf22d720ec/types/index.d.ts#L39
API,repo,README.md,4599,4599,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,2d9a91916471f1fbe465dbcdc05db0cf22d720ec,1644593696,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,https://github.com/parallax/jsPDF/blob/7315ccbb54fdf47a3498cfb3c9f757da5c450242/README.md,https://github.com/parallax/jsPDF/blob/2d9a91916471f1fbe465dbcdc05db0cf22d720ec/types/index.d.ts#L1371
ARISING,repo,README.md,186,186,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,2d9a91916471f1fbe465dbcdc05db0cf22d720ec,1644593696,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,https://github.com/parallax/jsPDF/blob/7315ccbb54fdf47a3498cfb3c9f757da5c450242/README.md,https://github.com/parallax/jsPDF/blob/2d9a91916471f1fbe465dbcdc05db0cf22d720ec/types/index.d.ts#L44
AS,repo,README.md,365,365,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,2d9a91916471f1fbe465dbcdc05db0cf22d720ec,1644593696,7315ccbb54fdf47a3498cfb3c9f757da5c450242,1643385326,https://github.com/parallax/jsPDF/blob/7315ccbb54fdf47a3498cfb3c9f757da5c450242/README.md,https://github.com/parallax/jsPDF/blob/2d9a91916471f1fbe465dbcdc05db0cf22d720ec/types/index.d.ts#L39
