code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
2Bgithub,repo,README.md,2,2,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,f0970f9887eb351cc167a7406e2dc36250096b76,1655432618,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,https://github.com/qishibo/AnotherRedisDesktopManager/blob/fdd394a54e928b5ecf0ee031f5ce3df27b01e290/README.md,https://github.com/qishibo/AnotherRedisDesktopManager/blob/f0970f9887eb351cc167a7406e2dc36250096b76/README.zh-CN.md#L13
2FAnotherRedisDesktopManager,repo,README.md,2,2,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,f0970f9887eb351cc167a7406e2dc36250096b76,1655432618,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,https://github.com/qishibo/AnotherRedisDesktopManager/blob/fdd394a54e928b5ecf0ee031f5ce3df27b01e290/README.md,https://github.com/qishibo/AnotherRedisDesktopManager/blob/f0970f9887eb351cc167a7406e2dc36250096b76/README.zh-CN.md#L13
2Fqishibo,repo,README.md,2,2,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,f0970f9887eb351cc167a7406e2dc36250096b76,1655432618,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,https://github.com/qishibo/AnotherRedisDesktopManager/blob/fdd394a54e928b5ecf0ee031f5ce3df27b01e290/README.md,https://github.com/qishibo/AnotherRedisDesktopManager/blob/f0970f9887eb351cc167a7406e2dc36250096b76/README.zh-CN.md#L13
9MTD84X0JFHZ,repo,README.md,3,3,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,f0970f9887eb351cc167a7406e2dc36250096b76,1655432618,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,https://github.com/qishibo/AnotherRedisDesktopManager/blob/fdd394a54e928b5ecf0ee031f5ce3df27b01e290/README.md,https://github.com/qishibo/AnotherRedisDesktopManager/blob/f0970f9887eb351cc167a7406e2dc36250096b76/README.zh-CN.md#L22
@shiboooo,repo,README.md,1,1,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,f0970f9887eb351cc167a7406e2dc36250096b76,1655432618,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,https://github.com/qishibo/AnotherRedisDesktopManager/blob/fdd394a54e928b5ecf0ee031f5ce3df27b01e290/README.md,https://github.com/qishibo/AnotherRedisDesktopManager/blob/f0970f9887eb351cc167a7406e2dc36250096b76/README.zh-CN.md#L12
ACL,repo,README.md,17,17,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,f0970f9887eb351cc167a7406e2dc36250096b76,1655432618,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,https://github.com/qishibo/AnotherRedisDesktopManager/blob/fdd394a54e928b5ecf0ee031f5ce3df27b01e290/README.md,https://github.com/qishibo/AnotherRedisDesktopManager/blob/f0970f9887eb351cc167a7406e2dc36250096b76/src/redisClient.js#L190
AnotherRedisDesktopManager,repo,README.md,36,36,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,f0970f9887eb351cc167a7406e2dc36250096b76,1655432618,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,https://github.com/qishibo/AnotherRedisDesktopManager/blob/fdd394a54e928b5ecf0ee031f5ce3df27b01e290/README.md,https://github.com/qishibo/AnotherRedisDesktopManager/blob/f0970f9887eb351cc167a7406e2dc36250096b76/src/i18n/langs/ua.js#L86
AppImage,repo,README.md,2,2,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,f0970f9887eb351cc167a7406e2dc36250096b76,1655432618,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,https://github.com/qishibo/AnotherRedisDesktopManager/blob/fdd394a54e928b5ecf0ee031f5ce3df27b01e290/README.md,https://github.com/qishibo/AnotherRedisDesktopManager/blob/f0970f9887eb351cc167a7406e2dc36250096b76/pack/electron/package.json#L51
CN,repo,README.md,1,1,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,f0970f9887eb351cc167a7406e2dc36250096b76,1655432618,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,https://github.com/qishibo/AnotherRedisDesktopManager/blob/fdd394a54e928b5ecf0ee031f5ce3df27b01e290/README.md,https://github.com/qishibo/AnotherRedisDesktopManager/blob/f0970f9887eb351cc167a7406e2dc36250096b76/src/i18n/i18n.js#L6
ELECTRON_MIRROR,repo,README.md,2,2,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,f0970f9887eb351cc167a7406e2dc36250096b76,1655432618,fdd394a54e928b5ecf0ee031f5ce3df27b01e290,1654608483,https://github.com/qishibo/AnotherRedisDesktopManager/blob/fdd394a54e928b5ecf0ee031f5ce3df27b01e290/README.md,https://github.com/qishibo/AnotherRedisDesktopManager/blob/f0970f9887eb351cc167a7406e2dc36250096b76/README.zh-CN.md#L106
