code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
--help,repo,README.md,50,53,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,be400c3ca2b86111766d840979478fc026679368,1655575253,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,https://github.com/rails/rails/blob/d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb/README.md,https://github.com/rails/rails/blob/be400c3ca2b86111766d840979478fc026679368/railties/test/generators_test.rb#L30
-h,repo,README.md,15,17,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,be400c3ca2b86111766d840979478fc026679368,1655575253,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,https://github.com/rails/rails/blob/d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb/README.md,https://github.com/rails/rails/blob/be400c3ca2b86111766d840979478fc026679368/railties/test/commands/dbconsole_test.rb#L286
API,repo,README.md,430,434,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,be400c3ca2b86111766d840979478fc026679368,1655575253,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,https://github.com/rails/rails/blob/d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb/README.md,https://github.com/rails/rails/blob/be400c3ca2b86111766d840979478fc026679368/railties/test/generators/plugin_generator_test.rb#L805
ActionController::Base,repo,README.md,565,570,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,be400c3ca2b86111766d840979478fc026679368,1655575253,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,https://github.com/rails/rails/blob/d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb/README.md,https://github.com/rails/rails/blob/be400c3ca2b86111766d840979478fc026679368/railties/test/railties/mounted_engine_test.rb#L53
ActiveRecord::Base,repo,README.md,3763,3451,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,be400c3ca2b86111766d840979478fc026679368,1655575253,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,https://github.com/rails/rails/blob/d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb/README.md,https://github.com/rails/rails/blob/be400c3ca2b86111766d840979478fc026679368/railties/test/json_params_parsing_test.rb#L10
ERB,repo,README.md,209,220,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,be400c3ca2b86111766d840979478fc026679368,1655575253,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,https://github.com/rails/rails/blob/d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb/README.md,https://github.com/rails/rails/blob/be400c3ca2b86111766d840979478fc026679368/tasks/release.rb#L331
HTML,repo,README.md,577,580,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,be400c3ca2b86111766d840979478fc026679368,1655575253,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,https://github.com/rails/rails/blob/d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb/README.md,https://github.com/rails/rails/blob/be400c3ca2b86111766d840979478fc026679368/railties/test/code_statistics_calculator_test.rb#L223
HTTP,repo,README.md,423,437,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,be400c3ca2b86111766d840979478fc026679368,1655575253,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,https://github.com/rails/rails/blob/d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb/README.md,https://github.com/rails/rails/blob/be400c3ca2b86111766d840979478fc026679368/railties/test/application/rack/logger_test.rb#L33
JSON,repo,README.md,668,690,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,be400c3ca2b86111766d840979478fc026679368,1655575253,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,https://github.com/rails/rails/blob/d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb/README.md,https://github.com/rails/rails/blob/be400c3ca2b86111766d840979478fc026679368/tasks/release.rb#L77
MIT,repo,README.md,80,80,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,be400c3ca2b86111766d840979478fc026679368,1655575253,d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb,1644861897,https://github.com/rails/rails/blob/d5cf3b2c9848cd4d14aeabf592f01e8fc2e8b9eb/README.md,https://github.com/rails/rails/blob/be400c3ca2b86111766d840979478fc026679368/railties/test/generators/plugin_generator_test.rb#L14
