code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
--relay,repo,README.md,2,2,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/models/constants.go#L16
--remember,repo,README.md,1,1,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/models/constants.go#L63
CROC_PASS,repo,README.md,3,3,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/cli/cli.go#L102
FreeBSD,repo,README.md,5,5,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/install/default.txt#L271
MB,repo,README.md,1,1,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/utils/utils_test.go#L113
MIT,repo,README.md,3,3,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/LICENSE#L1
PAKE,repo,README.md,2,2,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/tcp/tcp.go#L178
TCP,repo,README.md,4,4,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/tcp/tcp.go#L112
croc,repo,README.md,119,119,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/utils/utils.go#L37
file(s),repo,README.md,2,2,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/cli/cli.go#L60
imohash,repo,README.md,10,10,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/utils/utils.go#L23
macOS,repo,README.md,4,4,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/install/default.txt#L579
pkg,repo,README.md,4,4,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/crypt/crypt.go#L78
qO,repo,README.md,1,1,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,7a0c0a820025c0aea766fef342fa01eac33ec8d0,1653065431,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/README.md,https://github.com/schollz/croc/blob/7a0c0a820025c0aea766fef342fa01eac33ec8d0/src/install/default.txt#L8
