code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
CCG,repo,README.md,20,20,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/english/ccg.md#L3
Code,repo,README.md,185,185,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/vietnamese/vietnamese.md#L9
JSON,repo,README.md,2,2,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/structured/export.py#L468
KBP,repo,README.md,8,8,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/english/relationship_extraction.md#L172
NLP,repo,README.md,32,33,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/vietnamese/vietnamese.md#L1
README,repo,README.md,71,71,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/spanish/named_entity_recognition.md#L56
SOTA,repo,README.md,7,7,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/structured/export.py#L99
Score,repo,README.md,10,10,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/english/word_sense_disambiguation.md#L130
entity_linking,repo,README.md,2,2,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/spanish/entity_linking.md#L3
named_entity_recognition,repo,README.md,2,2,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/spanish/named_entity_recognition.md#L13
nlpprogress.com,repo,README.md,1,2,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/CNAME#L1
question_answering,repo,README.md,1,1,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,e347d1acc16f57c142abe48249b159d0e8f86145,1648936807,828dd5bc9271bd55e263ad28a189193d386fb1a6,1644063505,https://github.com/sebastianruder/NLP-progress/blob/828dd5bc9271bd55e263ad28a189193d386fb1a6/README.md,https://github.com/sebastianruder/NLP-progress/blob/e347d1acc16f57c142abe48249b159d0e8f86145/portuguese/question_answering.md#L3
