code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.vimrc,wiki,Home.md,109,109,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/uninstall.sh#L14
.vimrc.bundles,wiki,Home.md,33,33,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/uninstall.sh#L15
.vimrc.bundles.local,wiki,Home.md,11,11,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/README.markdown#L14
AutoClose,wiki,Home.md,5,5,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/README.markdown#L246
AutoCloseTag,wiki,Home.md,3,3,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/.vimrc.bundles#L247
GUI,wiki,Home.md,1,1,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/.vimrc#L1069
HTML,wiki,Home.md,5,5,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/README.markdown#L292
MarcWeber,wiki,Home.md,1,1,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/.vimrc.bundles#L78
PIV,wiki,Home.md,7,7,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/README.markdown#L390
UI,wiki,Home.md,1,1,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/.vimrc#L178
bootstrap,wiki,Home.md,2,2,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/README.markdown#L202
curl,wiki,Home.md,10,10,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/README.markdown#L36
python_match,wiki,Home.md,1,1,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/.vimrc.bundles#L207
restore_view,wiki,Home.md,1,1,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/.vimrc.bundles#L132
spf13-vim-windows-install.cmd,wiki,Home.md,2,2,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/README.markdown#L108
tlib_vim,wiki,Home.md,1,1,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,1450530200,https://github.com/spf13/spf13-vim/wiki/Home/096cabd1ff056e9eacc0841c4d3f3d87f8ba5127,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/.vimrc.bundles#L79
.vimrc.local,wiki,Vim-indent-guides.md,13,13,54cf07eac29fd43d109c572ef7455bb230281826,1363285652,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,e88269d8adfc76323586c22dafdd448fcda778b1,1362951373,https://github.com/spf13/spf13-vim/wiki/Vim-indent-guides/e88269d8adfc76323586c22dafdd448fcda778b1,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/bootstrap.sh#L134
indent_guides_enable_on_vim_startup,wiki,Vim-indent-guides.md,1,1,54cf07eac29fd43d109c572ef7455bb230281826,1363285652,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,e88269d8adfc76323586c22dafdd448fcda778b1,1362951373,https://github.com/spf13/spf13-vim/wiki/Vim-indent-guides/e88269d8adfc76323586c22dafdd448fcda778b1,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/.vimrc#L1031
DisableAutoPHPFolding,wiki,faq.md,1,1,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,bf13ba7361de8d9c92c2636daa4c79a0116649bc,1404184898,https://github.com/spf13/spf13-vim/wiki/faq/bf13ba7361de8d9c92c2636daa4c79a0116649bc,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/.vimrc#L508
PHP,wiki,faq.md,6,6,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,bf13ba7361de8d9c92c2636daa4c79a0116649bc,1404184898,https://github.com/spf13/spf13-vim/wiki/faq/bf13ba7361de8d9c92c2636daa4c79a0116649bc,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/README.markdown#L392
~/.vimrc.local,wiki,faq.md,8,8,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50,1455420105,bf13ba7361de8d9c92c2636daa4c79a0116649bc,1404184898,https://github.com/spf13/spf13-vim/wiki/faq/bf13ba7361de8d9c92c2636daa4c79a0116649bc,https://github.com/spf13/spf13-vim/blob/1ce5f23997f6dd82235c6936c5c47b3f1d1b4e50/README.markdown#L14
