code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
ALTO,repo,README.md,11,11,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/README.md,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/src/tesseract.cpp#L524
ANY,repo,README.md,606,606,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/README.md,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/unittest/validator_test.cc#L8
API,repo,README.md,50,50,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/README.md,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/unittest/progress_test.cc#L3
AS,repo,README.md,599,599,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/README.md,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/unittest/validator_test.cc#L7
AUTHORS,repo,README.md,4,4,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/README.md,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/unittest/third_party/utf/utf.h#L10
BASIS,repo,README.md,594,594,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/README.md,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/unittest/validator_test.cc#L7
CONDITIONS,repo,README.md,596,596,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/README.md,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/unittest/validator_test.cc#L8
CONTRIBUTING,repo,README.md,1,1,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/README.md,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/.github/ISSUE_TEMPLATE.md#L1
ChangeLog,repo,README.md,1,1,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/README.md,code_element is a file name
DanBloomberg,repo,README.md,2,2,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,cc06ae456ee9c94b5dea8636df8b1faf34a2e01d,1655222490,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/README.md,https://github.com/tesseract-ocr/tesseract/blob/cc06ae456ee9c94b5dea8636df8b1faf34a2e01d/snap/snapcraft.yaml#L44
