code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
ApplicationInsights,repo,README.md,2,2,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/README.md,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/.gitignore#L165
GitHub,repo,README.md,1,1,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/README.md,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/.github/FUNDING.yml#L3
MSBuild,repo,README.md,1,1,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/README.md,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/.gitignore#L149
MonoDevelop,repo,README.md,1,1,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/README.md,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/.gitignore#L10
NET,repo,README.md,6,6,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/README.md,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/.gitignore#L95
NuGet,repo,README.md,2,2,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/README.md,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/.gitignore#L145
README,repo,README.md,2,2,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/README.md,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/.travis.yml#L7
ReSharper,repo,README.md,1,1,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/README.md,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/.gitignore#L95
SQL,repo,README.md,1,1,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/README.md,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/.gitignore#L200
URL,repo,README.md,1,1,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,e9aab13682ee8b570fd11b0038ee6d1c5d708bd1,1633799264,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/README.md,https://github.com/thangchung/awesome-dotnet-core/blob/e9aab13682ee8b570fd11b0038ee6d1c5d708bd1/.github/FUNDING.yml#L12
