code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
->,repo,README.md,147,147,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,022693f6f025d913d105d3dabaa611428dc0bd32,1653253126,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,https://github.com/tonsky/FiraCode/blob/ab6e682f934f4c85d859f99a4396f9c6ae1d397d/README.md,https://github.com/tonsky/FiraCode/blob/022693f6f025d913d105d3dabaa611428dc0bd32/script/progress.clj#L31
..,repo,README.md,73,73,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,022693f6f025d913d105d3dabaa611428dc0bd32,1653253126,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,https://github.com/tonsky/FiraCode/blob/ab6e682f934f4c85d859f99a4396f9c6ae1d397d/README.md,https://github.com/tonsky/FiraCode/blob/022693f6f025d913d105d3dabaa611428dc0bd32/script/package.sh#L3
//,repo,README.md,70,70,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,022693f6f025d913d105d3dabaa611428dc0bd32,1653253126,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,https://github.com/tonsky/FiraCode/blob/ab6e682f934f4c85d859f99a4396f9c6ae1d397d/README.md,https://github.com/tonsky/FiraCode/blob/022693f6f025d913d105d3dabaa611428dc0bd32/script/release.py#L41
:=,repo,README.md,92,92,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,022693f6f025d913d105d3dabaa611428dc0bd32,1653253126,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,https://github.com/tonsky/FiraCode/blob/ab6e682f934f4c85d859f99a4396f9c6ae1d397d/README.md,https://github.com/tonsky/FiraCode/blob/022693f6f025d913d105d3dabaa611428dc0bd32/googlefonts-qa/gfonts-description.html#L2
<=,repo,README.md,170,170,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,022693f6f025d913d105d3dabaa611428dc0bd32,1653253126,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,https://github.com/tonsky/FiraCode/blob/ab6e682f934f4c85d859f99a4396f9c6ae1d397d/README.md,https://github.com/tonsky/FiraCode/blob/022693f6f025d913d105d3dabaa611428dc0bd32/script/progress.clj#L16
@import,repo,README.md,2,2,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,022693f6f025d913d105d3dabaa611428dc0bd32,1653253126,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,https://github.com/tonsky/FiraCode/blob/ab6e682f934f4c85d859f99a4396f9c6ae1d397d/README.md,https://github.com/tonsky/FiraCode/blob/022693f6f025d913d105d3dabaa611428dc0bd32/README_CN.md#L159
@nikitonsky,repo,README.md,2,2,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,022693f6f025d913d105d3dabaa611428dc0bd32,1653253126,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,https://github.com/tonsky/FiraCode/blob/ab6e682f934f4c85d859f99a4396f9c6ae1d397d/README.md,https://github.com/tonsky/FiraCode/blob/022693f6f025d913d105d3dabaa611428dc0bd32/README_CN.md#L234
@supports,repo,README.md,2,2,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,022693f6f025d913d105d3dabaa611428dc0bd32,1653253126,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,https://github.com/tonsky/FiraCode/blob/ab6e682f934f4c85d859f99a4396f9c6ae1d397d/README.md,https://github.com/tonsky/FiraCode/blob/022693f6f025d913d105d3dabaa611428dc0bd32/README_CN.md#L166
ACE,repo,README.md,2,2,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,022693f6f025d913d105d3dabaa611428dc0bd32,1653253126,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,https://github.com/tonsky/FiraCode/blob/ab6e682f934f4c85d859f99a4396f9c6ae1d397d/README.md,https://github.com/tonsky/FiraCode/blob/022693f6f025d913d105d3dabaa611428dc0bd32/README_CN.md#L175
ASCII,repo,README.md,33,33,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,022693f6f025d913d105d3dabaa611428dc0bd32,1653253126,ab6e682f934f4c85d859f99a4396f9c6ae1d397d,1648824914,https://github.com/tonsky/FiraCode/blob/ab6e682f934f4c85d859f99a4396f9c6ae1d397d/README.md,https://github.com/tonsky/FiraCode/blob/022693f6f025d913d105d3dabaa611428dc0bd32/googlefonts-qa/notes/QA-notes.md#L64
