code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
.start(),repo,README.md,37,41,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,55bac403388c5ee00d6c0139386d1687d9063877,1649107385,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,https://github.com/usablica/intro.js/blob/e31e434834a386948e41b5e296b23ab0f831b216/README.md,https://github.com/usablica/intro.js/blob/55bac403388c5ee00d6c0139386d1687d9063877/tests/index.test.js#L32
ALL,repo,README.md,1,1,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,55bac403388c5ee00d6c0139386d1687d9063877,1649107385,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,https://github.com/usablica/intro.js/blob/e31e434834a386948e41b5e296b23ab0f831b216/README.md,https://github.com/usablica/intro.js/blob/55bac403388c5ee00d6c0139386d1687d9063877/license.md#L606
CDN,repo,README.md,2,2,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,55bac403388c5ee00d6c0139386d1687d9063877,1649107385,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,https://github.com/usablica/intro.js/blob/e31e434834a386948e41b5e296b23ab0f831b216/README.md,https://github.com/usablica/intro.js/blob/55bac403388c5ee00d6c0139386d1687d9063877/example/bootstrap/v3/vendor/font-awesome/scss/_variables.scss#L7
GNU,repo,README.md,17,17,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,55bac403388c5ee00d6c0139386d1687d9063877,1649107385,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,https://github.com/usablica/intro.js/blob/e31e434834a386948e41b5e296b23ab0f831b216/README.md,https://github.com/usablica/intro.js/blob/55bac403388c5ee00d6c0139386d1687d9063877/license.md#L15
GitHub,repo,README.md,2,2,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,55bac403388c5ee00d6c0139386d1687d9063877,1649107385,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,https://github.com/usablica/intro.js/blob/e31e434834a386948e41b5e296b23ab0f831b216/README.md,https://github.com/usablica/intro.js/blob/55bac403388c5ee00d6c0139386d1687d9063877/example/bootstrap/v3/README.md#L24
HTML,repo,README.md,23,23,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,55bac403388c5ee00d6c0139386d1687d9063877,1649107385,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,https://github.com/usablica/intro.js/blob/e31e434834a386948e41b5e296b23ab0f831b216/README.md,https://github.com/usablica/intro.js/blob/55bac403388c5ee00d6c0139386d1687d9063877/tests/cypress/setup/index.html#L133
JavaScript,repo,README.md,12,12,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,55bac403388c5ee00d6c0139386d1687d9063877,1649107385,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,https://github.com/usablica/intro.js/blob/e31e434834a386948e41b5e296b23ab0f831b216/README.md,https://github.com/usablica/intro.js/blob/55bac403388c5ee00d6c0139386d1687d9063877/src/util/getPropValue.js#L3
data-hint,repo,README.md,22,22,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,55bac403388c5ee00d6c0139386d1687d9063877,1649107385,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,https://github.com/usablica/intro.js/blob/e31e434834a386948e41b5e296b23ab0f831b216/README.md,https://github.com/usablica/intro.js/blob/55bac403388c5ee00d6c0139386d1687d9063877/src/core/hint.js#L413
data-intro,repo,README.md,106,106,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,55bac403388c5ee00d6c0139386d1687d9063877,1649107385,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,https://github.com/usablica/intro.js/blob/e31e434834a386948e41b5e296b23ab0f831b216/README.md,https://github.com/usablica/intro.js/blob/55bac403388c5ee00d6c0139386d1687d9063877/tests/core/fetchIntroSteps.test.js#L92
data-step,repo,README.md,100,100,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,55bac403388c5ee00d6c0139386d1687d9063877,1649107385,e31e434834a386948e41b5e296b23ab0f831b216,1644154818,https://github.com/usablica/intro.js/blob/e31e434834a386948e41b5e296b23ab0f831b216/README.md,https://github.com/usablica/intro.js/blob/55bac403388c5ee00d6c0139386d1687d9063877/tests/core/fetchIntroSteps.test.js#L126
