code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
./dist,repo,README.md,5,5,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,bf9c71fc039c805d502d404d48b6741aac13c466,1655444930,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,https://github.com/vercel/hyper/blob/155d81d9b69fe4cfa7b6a379924ec07ca1d3b191/README.md,https://github.com/vercel/hyper/blob/bf9c71fc039c805d502d404d48b6741aac13c466/tsconfig.json#L4
API,repo,README.md,69,69,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,bf9c71fc039c805d502d404d48b6741aac13c466,1655444930,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,https://github.com/vercel/hyper/blob/155d81d9b69fe4cfa7b6a379924ec07ca1d3b191/README.md,https://github.com/vercel/hyper/blob/bf9c71fc039c805d502d404d48b6741aac13c466/lib/utils/plugins.ts#L4
C++,repo,README.md,2,2,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,bf9c71fc039c805d502d404d48b6741aac13c466,1655444930,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,https://github.com/vercel/hyper/blob/155d81d9b69fe4cfa7b6a379924ec07ca1d3b191/README.md,https://github.com/vercel/hyper/blob/bf9c71fc039c805d502d404d48b6741aac13c466/bin/yarn-standalone.js#L30375
CI,repo,README.md,14,14,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,bf9c71fc039c805d502d404d48b6741aac13c466,1655444930,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,https://github.com/vercel/hyper/blob/155d81d9b69fe4cfa7b6a379924ec07ca1d3b191/README.md,https://github.com/vercel/hyper/blob/bf9c71fc039c805d502d404d48b6741aac13c466/bin/yarn-standalone.js#L7396
GitHub,repo,README.md,3,3,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,bf9c71fc039c805d502d404d48b6741aac13c466,1655444930,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,https://github.com/vercel/hyper/blob/155d81d9b69fe4cfa7b6a379924ec07ca1d3b191/README.md,https://github.com/vercel/hyper/blob/bf9c71fc039c805d502d404d48b6741aac13c466/app/menus/menus/help.ts#L76
VSCode,repo,README.md,1,1,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,bf9c71fc039c805d502d404d48b6741aac13c466,1655444930,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,https://github.com/vercel/hyper/blob/155d81d9b69fe4cfa7b6a379924ec07ca1d3b191/README.md,https://github.com/vercel/hyper/blob/bf9c71fc039c805d502d404d48b6741aac13c466/PLUGINS.md#L37
hyper,repo,README.md,124,124,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,bf9c71fc039c805d502d404d48b6741aac13c466,1655444930,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,https://github.com/vercel/hyper/blob/155d81d9b69fe4cfa7b6a379924ec07ca1d3b191/README.md,https://github.com/vercel/hyper/blob/bf9c71fc039c805d502d404d48b6741aac13c466/webpack.config.ts#L12
macOS,repo,README.md,11,11,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,bf9c71fc039c805d502d404d48b6741aac13c466,1655444930,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,https://github.com/vercel/hyper/blob/155d81d9b69fe4cfa7b6a379924ec07ca1d3b191/README.md,https://github.com/vercel/hyper/blob/bf9c71fc039c805d502d404d48b6741aac13c466/lib/components/header.tsx#L68
node-pty,repo,README.md,12,12,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,bf9c71fc039c805d502d404d48b6741aac13c466,1655444930,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,https://github.com/vercel/hyper/blob/155d81d9b69fe4cfa7b6a379924ec07ca1d3b191/README.md,https://github.com/vercel/hyper/blob/bf9c71fc039c805d502d404d48b6741aac13c466/package.json#L15
xz,repo,README.md,3,3,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,bf9c71fc039c805d502d404d48b6741aac13c466,1655444930,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,https://github.com/vercel/hyper/blob/155d81d9b69fe4cfa7b6a379924ec07ca1d3b191/README.md,https://github.com/vercel/hyper/blob/bf9c71fc039c805d502d404d48b6741aac13c466/bin/yarn-standalone.js#L84971
yarn,repo,README.md,237,237,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,bf9c71fc039c805d502d404d48b6741aac13c466,1655444930,155d81d9b69fe4cfa7b6a379924ec07ca1d3b191,1651635045,https://github.com/vercel/hyper/blob/155d81d9b69fe4cfa7b6a379924ec07ca1d3b191/README.md,https://github.com/vercel/hyper/blob/bf9c71fc039c805d502d404d48b6741aac13c466/yarn.lock#L2
