code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
NPM,repo,README.md,2,0,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,f858619b8b8de007f7af6dfb4a5103a80e0a6c22,1655495142,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/README.md,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/docs/2.8.x/index.html#L244
YourModel.collection,repo,README.md,4,0,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,f858619b8b8de007f7af6dfb4a5103a80e0a6c22,1655495142,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/README.md,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/docs/2.8.x/index.html#L534
YourModel.collection.find(),repo,README.md,2,0,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,f858619b8b8de007f7af6dfb4a5103a80e0a6c22,1655495142,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/README.md,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/docs/2.8.x/index.html#L538
capitalize(v),repo,README.md,2,0,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,f858619b8b8de007f7af6dfb4a5103a80e0a6c22,1655495142,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/README.md,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/docs/2.8.x/index.html#L318
"emit('set', path, val)",repo,README.md,2,0,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,f858619b8b8de007f7af6dfb4a5103a80e0a6c22,1655495142,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/README.md,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/docs/2.8.x/index.html#L469
"find({}, function (err, docs)",repo,README.md,2,0,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,f858619b8b8de007f7af6dfb4a5103a80e0a6c22,1655495142,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/README.md,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/docs/2.8.x/index.html#L353
"findById(myId, function (err, post)",repo,README.md,4,0,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,f858619b8b8de007f7af6dfb4a5103a80e0a6c22,1655495142,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/README.md,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/docs/2.8.x/index.html#L400
log(methodArg1),repo,README.md,2,0,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,f858619b8b8de007f7af6dfb4a5103a80e0a6c22,1655495142,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/README.md,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/docs/2.8.x/index.html#L485
log(methodArg2),repo,README.md,2,0,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,f858619b8b8de007f7af6dfb4a5103a80e0a6c22,1655495142,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/README.md,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/docs/2.8.x/index.html#L488
methodArg1,repo,README.md,8,0,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,f858619b8b8de007f7af6dfb4a5103a80e0a6c22,1655495142,8838b5e8f1710306c304f8ec2d0d48dce8e040aa,1651802360,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/README.md,https://github.com/Automattic/mongoose/blob/8838b5e8f1710306c304f8ec2d0d48dce8e040aa/docs/2.8.x/index.html#L425
