code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
Box(4),wiki,BipedalWalker-v2.md,1,0,bdf95c1adc511a10fe115942bdef7b9b5f97516d,1608234952,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,dcbaa4555e988015688b7c121b09439cc8985010,1606858962,https://github.com/openai/gym/wiki/BipedalWalker-v2/dcbaa4555e988015688b7c121b09439cc8985010,https://github.com/openai/gym/blob/bdf95c1adc511a10fe115942bdef7b9b5f97516d/gym/envs/classic_control/cartpole.py#L27
Box(4),wiki,CartPole-v0.md,1,0,58ed658d9b15fd410c50d1fdb25a7cad9acb7fa4,1633134962,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,29ac6b645aa054b32d02f773fc79a8dea13853f1,1632905676,https://github.com/openai/gym/wiki/CartPole-v0/29ac6b645aa054b32d02f773fc79a8dea13853f1,https://github.com/openai/gym/blob/58ed658d9b15fd410c50d1fdb25a7cad9acb7fa4/gym/envs/classic_control/cartpole.py#L27
TensorFlow,wiki,Feature-suggestion:-Observation-wrappers.md,2,0,6d7e50e67bbbe94f03c503e27ce8081c0e359248,1487812987,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,22ca3905423ac4fdb1eef1b1a9ee82721cb6c967,1487118699,https://github.com/openai/gym/wiki/Feature-suggestion:-Observation-wrappers/22ca3905423ac4fdb1eef1b1a9ee82721cb6c967,https://github.com/openai/gym/blob/6d7e50e67bbbe94f03c503e27ce8081c0e359248/gym/scoreboard/__init__.py#L569
x_k,wiki,Feature-suggestion:-Observation-wrappers.md,9,0,6d7e50e67bbbe94f03c503e27ce8081c0e359248,1487812987,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,22ca3905423ac4fdb1eef1b1a9ee82721cb6c967,1487118699,https://github.com/openai/gym/wiki/Feature-suggestion:-Observation-wrappers/22ca3905423ac4fdb1eef1b1a9ee82721cb6c967,https://github.com/openai/gym/blob/6d7e50e67bbbe94f03c503e27ce8081c0e359248/gym/scoreboard/__init__.py#L209
FAQ,wiki,Home.md,2,0,59d401ea3b991074edcf74c0e653664f7cd5ec23,1575638026,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,e912d600765deea14315f71192e8790f88c47ab1,1574909498,https://github.com/openai/gym/wiki/Home/e912d600765deea14315f71192e8790f88c47ab1,https://github.com/openai/gym/blob/59d401ea3b991074edcf74c0e653664f7cd5ec23/README.rst#L16
Box(1),wiki,Pendulum-v1.md,1,0,d653ebf3b7cc4358f7cab67ee086d8b7117fc9d7,1642618225,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,54e6484f4f09365631083135c58bcf9391aea9a9,1642281884,https://github.com/openai/gym/wiki/Pendulum-v1/54e6484f4f09365631083135c58bcf9391aea9a9,https://github.com/openai/gym/blob/d653ebf3b7cc4358f7cab67ee086d8b7117fc9d7/gym/envs/classic_control/continuous_mountain_car.py#L38
DOWNFIRE,wiki,Riverraid-v0.md,1,0,efbc6f7081d87c4566af632f1abc73578984b53a,1539896167,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,d62f8e06e97385132c10c544c3e01fa2eda5bf8c,1539004289,https://github.com/openai/gym/wiki/Riverraid-v0/d62f8e06e97385132c10c544c3e01fa2eda5bf8c,https://github.com/openai/gym/blob/efbc6f7081d87c4566af632f1abc73578984b53a/gym/envs/atari/atari_env.py#L187
DOWNLEFT,wiki,Riverraid-v0.md,1,0,efbc6f7081d87c4566af632f1abc73578984b53a,1539896167,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,d62f8e06e97385132c10c544c3e01fa2eda5bf8c,1539004289,https://github.com/openai/gym/wiki/Riverraid-v0/d62f8e06e97385132c10c544c3e01fa2eda5bf8c,https://github.com/openai/gym/blob/efbc6f7081d87c4566af632f1abc73578984b53a/gym/envs/atari/atari_env.py#L183
DOWNLEFTFIRE,wiki,Riverraid-v0.md,1,0,efbc6f7081d87c4566af632f1abc73578984b53a,1539896167,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,d62f8e06e97385132c10c544c3e01fa2eda5bf8c,1539004289,https://github.com/openai/gym/wiki/Riverraid-v0/d62f8e06e97385132c10c544c3e01fa2eda5bf8c,https://github.com/openai/gym/blob/efbc6f7081d87c4566af632f1abc73578984b53a/gym/envs/atari/atari_env.py#L191
DOWNRIGHT,wiki,Riverraid-v0.md,1,0,efbc6f7081d87c4566af632f1abc73578984b53a,1539896167,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,d62f8e06e97385132c10c544c3e01fa2eda5bf8c,1539004289,https://github.com/openai/gym/wiki/Riverraid-v0/d62f8e06e97385132c10c544c3e01fa2eda5bf8c,https://github.com/openai/gym/blob/efbc6f7081d87c4566af632f1abc73578984b53a/gym/envs/atari/atari_env.py#L182
DOWNRIGHTFIRE,wiki,Riverraid-v0.md,1,0,efbc6f7081d87c4566af632f1abc73578984b53a,1539896167,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,d62f8e06e97385132c10c544c3e01fa2eda5bf8c,1539004289,https://github.com/openai/gym/wiki/Riverraid-v0/d62f8e06e97385132c10c544c3e01fa2eda5bf8c,https://github.com/openai/gym/blob/efbc6f7081d87c4566af632f1abc73578984b53a/gym/envs/atari/atari_env.py#L190
FIRE,wiki,Riverraid-v0.md,2,0,efbc6f7081d87c4566af632f1abc73578984b53a,1539896167,feea527a4fe66f48a077cf7e264ae60f86f745fa,1655672756,d62f8e06e97385132c10c544c3e01fa2eda5bf8c,1539004289,https://github.com/openai/gym/wiki/Riverraid-v0/d62f8e06e97385132c10c544c3e01fa2eda5bf8c,https://github.com/openai/gym/blob/efbc6f7081d87c4566af632f1abc73578984b53a/gym/envs/atari/atari_env.py#L127
